timestamp,order_id,rule,action,reason
2026-08-11T13:24:06.604857,1002,negative_order_amount,quarantined,Critical issue detected
2026-08-11T13:24:06.604857,1003,missing_customer_id,quarantined,Critical issue detected
2026-08-11T13:24:06.604857,,missing_order_id,quarantined,Critical issue detected
2026-08-11T13:24:06.604857,1005,invalid_order_status,reviewed,Non-critical issue recorded
2026-08-11T13:24:06.604857,1001,duplicate_order_id,deduplicated,Keeping latest record by updated_at
2026-08-11T13:24:06.604857,1001,duplicate_order_id,reviewed,Non-critical issue recorded
2026-08-11T13:24:06.604857,1006,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:24:19.654548,1002,negative_order_amount,quarantined,Critical issue detected
2026-08-11T13:24:19.654548,1003,missing_customer_id,quarantined,Critical issue detected
2026-08-11T13:24:19.654548,,missing_order_id,quarantined,Critical issue detected
2026-08-11T13:24:19.654548,1005,invalid_order_status,reviewed,Non-critical issue recorded
2026-08-11T13:24:19.654548,1001,duplicate_order_id,deduplicated,Keeping latest record by updated_at
2026-08-11T13:24:19.654548,1001,duplicate_order_id,reviewed,Non-critical issue recorded
2026-08-11T13:24:19.654548,1006,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:27:18.810371,1002,negative_order_amount,quarantined,Critical issue detected
2026-08-11T13:27:18.810371,1003,missing_customer_id,quarantined,Critical issue detected
2026-08-11T13:27:18.810371,,missing_order_id,quarantined,Critical issue detected
2026-08-11T13:27:18.810371,1005,invalid_order_status,reviewed,Non-critical issue recorded
2026-08-11T13:27:18.810371,1001,duplicate_order_id,deduplicated,Keeping latest record by updated_at
2026-08-11T13:27:18.810371,1001,duplicate_order_id,reviewed,Non-critical issue recorded
2026-08-11T13:27:18.810371,1006,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:27:18.810371,1007,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:28:00.564156,1002,negative_order_amount,quarantined,Critical issue detected
2026-08-11T13:28:00.564156,1003,missing_customer_id,quarantined,Critical issue detected
2026-08-11T13:28:00.564156,,missing_order_id,quarantined,Critical issue detected
2026-08-11T13:28:00.564156,1005,invalid_order_status,reviewed,Non-critical issue recorded
2026-08-11T13:28:00.564156,1001,duplicate_order_id,deduplicated,Keeping latest record by updated_at
2026-08-11T13:28:00.564156,1001,duplicate_order_id,reviewed,Non-critical issue recorded
2026-08-11T13:28:00.564156,1006,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:28:00.564156,1007,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:30:04.047606,1002,negative_order_amount,quarantined,Critical issue detected
2026-08-11T13:30:04.047606,1003,missing_customer_id,quarantined,Critical issue detected
2026-08-11T13:30:04.047606,,missing_order_id,quarantined,Critical issue detected
2026-08-11T13:30:04.047606,1005,invalid_order_status,reviewed,Non-critical issue recorded
2026-08-11T13:30:04.047606,1001,duplicate_order_id,deduplicated,Keeping latest record by updated_at
2026-08-11T13:30:04.047606,1001,duplicate_order_id,reviewed,Non-critical issue recorded
2026-08-11T13:30:04.047606,1006,invalid_order_date,reviewed,Non-critical issue recorded
2026-08-11T13:30:04.047606,1007,invalid_order_date,reviewed,Non-critical issue recorded
